Date : 2021-04-10 14:33:55
Directory : c:\Users\Domantas\Desktop\Bakalauras\calories-tracker
Total : 94 files,  42160 codes, 658 comments, 1105 blanks, all 43923 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     36,881 |          0 |          5 |     36,886 |
| JavaScript |         85 |      4,719 |        618 |        976 |      6,313 |
| CSS        |          1 |        501 |         17 |         89 |        607 |
| Markdown   |          2 |         38 |          0 |         34 |         72 |
| HTML       |          1 |         21 |         23 |          1 |         45 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         94 |     42,160 |        658 |      1,105 |     43,923 |
| client                                                                                                            |         62 |     20,669 |        306 |        672 |     21,647 |
| client\public                                                                                                     |          2 |         46 |         23 |          2 |         71 |
| client\src                                                                                                        |         57 |      3,486 |        283 |        635 |      4,404 |
| client\src\actions                                                                                                |         10 |        538 |         47 |        123 |        708 |
| client\src\components                                                                                             |         30 |      2,056 |        203 |        357 |      2,616 |
| client\src\components\auth                                                                                        |          2 |        154 |          0 |         18 |        172 |
| client\src\components\dashboard                                                                                   |          4 |        176 |          2 |         49 |        227 |
| client\src\components\food-forms                                                                                  |          5 |        634 |         34 |        152 |        820 |
| client\src\components\goals                                                                                       |          1 |        157 |          0 |         21 |        178 |
| client\src\components\layout                                                                                      |          6 |        226 |        109 |         43 |        378 |
| client\src\components\profile                                                                                     |          6 |        211 |          0 |         20 |        231 |
| client\src\components\profile-forms                                                                               |          2 |        335 |         30 |         28 |        393 |
| client\src\components\routing                                                                                     |          2 |         71 |          0 |          9 |         80 |
| client\src\components\settings                                                                                    |          2 |         92 |         28 |         17 |        137 |
| client\src\reducers                                                                                               |         10 |        289 |          1 |         39 |        329 |
| client\src\utils                                                                                                  |          3 |         35 |          7 |          6 |         48 |
| config                                                                                                            |          1 |         18 |          1 |          4 |         23 |
| middleware                                                                                                        |          2 |         28 |          4 |          5 |         37 |
| models                                                                                                            |         12 |        384 |         45 |         33 |        462 |
| routes                                                                                                            |         13 |      1,278 |        297 |        374 |      1,949 |
| routes\api                                                                                                        |         13 |      1,278 |        297 |        374 |      1,949 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\README.md                                                   | Markdown   |          0 |          0 |          1 |          1 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\README.md                                            | Markdown   |         38 |          0 |         33 |         71 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\package-lock.json                                    | JSON       |     17,041 |          0 |          1 |     17,042 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\package.json                                         | JSON       |         58 |          0 |          1 |         59 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\public\index.html                                    | HTML       |         21 |         23 |          1 |         45 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\public\manifest.json                                 | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\App.css                                          | CSS        |        501 |         17 |         89 |        607 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\App.js                                           | JavaScript |         36 |          2 |         11 |         49 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\alert.js                                 | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\auth.js                                  | JavaScript |         62 |          4 |         15 |         81 |
